variable,correlacion_popularidad
loudness,0.0725426594094373
danceability,0.06551362537080184
acousticness,-0.03879133998920751
duration_ms,-0.020960043630275857
energy,0.014010007458524333
valence,-0.011582208491672547
tempo,0.008740007624055999
