track_name,artists,track_genre,popularity
93 Million Miles,Jason Mraz,acoustic,0
Unlonely,Jason Mraz,acoustic,0
Winter Wonderland,Jason Mraz,acoustic,0
If It Kills Me,Jason Mraz,acoustic,0
Winter Wonderland,Jason Mraz,acoustic,0
Winter Wonderland,Jason Mraz,acoustic,0
Winter Wonderland,Jason Mraz,acoustic,0
Winter Wonderland,Jason Mraz,acoustic,0
All I Want For Christmas Is A Real Good Tan,Chord Overstreet,acoustic,0
Party of One,Brandi Carlile;Sam Smith,acoustic,0
