duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre,key,mode,time_signature,explicit,popularity
185866,0.698,0.159,-11.612,0.209,0.986,0.0,0.202,0.499,108.016,tango,8,1,4,0,0
148548,0.795,0.507,-7.188,0.0332,0.542,6.83e-06,0.116,0.784,120.009,indie-pop,10,1,4,1,66
377266,0.463,0.688,-6.968,0.0584,0.151,0.0,0.121,0.215,144.001,gospel,0,1,4,0,39
136294,0.423,0.607,-7.079,0.0382,0.0944,0.0,0.204,0.808,145.954,cantopop,0,1,4,0,30
209910,0.586,0.811,-12.527,0.0364,0.0666,0.631,0.318,0.0383,122.014,french,8,1,4,0,53
187880,0.445,0.907,-3.894,0.0773,0.00161,0.0,0.403,0.71,165.069,punk-rock,11,0,4,1,62
240000,0.624,0.937,-2.372,0.0331,0.00738,0.000305,0.306,0.818,128.065,disco,10,1,4,0,24
297266,0.468,0.254,-11.839,0.0303,0.938,0.000442,0.107,0.242,135.862,acoustic,6,1,4,0,45
177261,0.847,0.547,-7.736,0.0372,0.461,0.362,0.0721,0.938,97.577,ska,6,0,4,0,36
184653,0.501,0.359,-10.089,0.0438,0.817,0.0,0.245,0.438,102.897,tango,2,1,4,0,17
221958,0.735,0.175,-13.204,0.0383,0.845,0.0,0.101,0.604,142.861,malay,6,1,4,0,44
194427,0.676,0.306,-19.527,0.957,0.739,0.0,0.683,0.44,144.213,comedy,1,1,3,1,22
220000,0.514,0.983,-1.577,0.0608,0.0589,0.0,0.314,0.499,149.967,dubstep,10,0,4,0,47
245735,0.654,0.924,-4.892,0.174,0.0738,0.0,0.329,0.595,136.021,indian,6,1,4,0,54
94283,0.494,0.91,-6.016,0.0479,0.561,1.13e-06,0.107,0.507,90.447,anime,1,0,4,0,59
351627,0.664,0.865,-5.035,0.0399,0.00178,0.827,0.108,0.228,128.99,minimal-techno,9,1,4,0,18
215259,0.606,0.261,-13.874,0.0518,0.559,0.868,0.0951,0.635,87.944,guitar,7,1,4,0,38
193586,0.689,0.54,-7.744,0.0476,0.697,0.417,0.376,0.374,168.099,guitar,0,1,4,0,22
239328,0.578,0.949,-8.717,0.0424,0.0231,0.341,0.358,0.259,164.828,happy,1,1,4,0,17
374201,0.634,0.98,-5.576,0.0407,3.06e-05,0.802,0.124,0.206,145.986,trance,7,1,4,0,34
203373,0.407,0.967,-7.104,0.0666,0.000316,0.00142,0.089,0.227,180.027,goth,0,1,4,0,60
175360,0.35,0.091,-15.221,0.0393,0.939,2.12e-06,0.0979,0.227,152.065,romance,9,0,4,0,1
216413,0.567,0.892,-5.964,0.0477,8.21e-05,0.000482,0.422,0.621,143.98,industrial,0,0,4,0,24
105400,0.251,0.925,-4.404,0.0911,7.13e-06,0.577,0.299,0.589,95.929,black-metal,2,1,3,0,23
233666,0.45,0.846,-4.712,0.0472,0.00523,0.0,0.228,0.402,140.042,drum-and-bass,9,0,4,0,61
246680,0.238,0.98,-3.855,0.165,4e-06,0.169,0.234,0.13,185.3,death-metal,8,1,5,0,55
233026,0.538,0.884,-3.251,0.031,0.000138,0.0,0.466,0.736,146.511,punk,8,1,4,0,71
197340,0.733,0.492,-6.672,0.457,0.0686,0.0,0.145,0.653,186.08,j-dance,6,1,4,0,22
215426,0.706,0.636,-4.14,0.0285,0.746,0.0,0.171,0.453,129.949,sertanejo,2,1,4,0,44
209071,0.419,0.914,-4.579,0.155,0.578,0.0,0.857,0.71,120.421,samba,2,1,4,0,38
237973,0.481,0.727,-8.848,0.0479,0.0442,0.0282,0.289,0.546,77.028,trip-hop,8,1,4,0,43
317419,0.89,0.976,-3.538,0.191,0.000441,0.226,0.0829,0.553,124.001,disco,4,0,4,0,0
233766,0.624,0.928,-5.426,0.0523,0.00757,0.413,0.0559,0.806,154.015,hardstyle,5,1,4,0,20
172872,0.779,0.858,-5.163,0.315,0.0175,0.0,0.0409,0.876,101.685,j-dance,1,1,4,1,24
217391,0.643,0.957,-5.026,0.0892,0.0565,0.841,0.0763,0.281,138.073,trance,1,1,4,0,49
293018,0.522,0.441,-10.005,0.0253,0.821,0.00191,0.106,0.315,81.051,brazil,5,1,4,0,46
167308,0.576,0.462,-9.962,0.0424,0.581,0.0,0.0884,0.881,119.718,jazz,5,1,4,0,0
154133,0.592,0.249,-8.86,0.0402,0.834,0.00125,0.113,0.155,90.521,soul,9,1,4,0,0
218933,0.428,0.656,-3.712,0.075,0.0751,0.181,0.15,0.355,79.648,edm,11,1,4,0,63
224800,0.805,0.878,-3.826,0.0864,0.0754,0.00329,0.0656,0.922,124.994,hip-hop,7,1,4,0,4
219773,0.63,0.975,-4.305,0.0526,0.093,0.000418,0.365,0.631,111.205,forro,9,0,4,0,38
152880,0.538,0.937,-3.27,0.0468,0.00223,0.000895,0.124,0.475,120.016,black-metal,7,1,3,0,21
192324,0.523,0.941,-4.444,0.0377,0.0878,0.148,0.106,0.145,120.67,garage,4,0,4,0,59
195200,0.549,0.921,-1.185,0.0636,0.00734,7.37e-05,0.184,0.261,149.955,hardstyle,0,0,4,0,40
158915,0.497,0.851,-8.646,0.0409,0.00317,1.23e-06,0.0864,0.825,159.549,rockabilly,0,1,4,0,24
172866,0.547,0.82,-6.728,0.0805,0.261,0.0,0.3,0.933,118.208,swedish,8,1,4,0,73
288386,0.686,0.772,-6.848,0.0417,0.157,3.81e-06,0.109,0.572,87.418,salsa,9,0,4,0,28
119226,0.398,0.988,-3.612,0.134,0.037,0.0,0.622,0.4,154.034,hardcore,11,1,4,0,29
228813,0.484,0.297,-8.937,0.0252,0.579,1.99e-06,0.122,0.102,91.023,cantopop,4,0,4,0,21
192293,0.66,1.0,-1.51,0.0753,0.0363,0.0,0.78,0.772,140.006,party,6,1,4,0,27
169803,0.767,0.557,-6.189,0.313,0.11,0.00946,0.153,0.601,84.017,study,10,1,4,0,20
191133,0.467,0.94,-5.579,0.0657,2.08e-05,0.00219,0.324,0.629,117.267,heavy-metal,9,0,4,0,28
163480,0.634,0.889,-3.239,0.0431,0.00635,0.0,0.0484,0.805,97.546,french,9,1,4,0,30
228960,0.444,0.651,-7.787,0.0497,0.496,0.000366,0.247,0.415,124.921,folk,5,1,3,0,48
184895,0.57,0.888,-5.617,0.0496,0.243,2.8e-05,0.0731,0.776,179.923,forro,9,1,4,0,38
